id,"name",artist_id,"created_at","updated_at",display
70,"抱きしめて 抱きしめて",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
71,"青春バスガイド",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
72,"ライバル",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
73,"関白宣言",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
74,"流星ボーイ",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
75,"私の未来のだんな様",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
76,"友達は友達なんだ!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
77,"雄叫びボーイ WAO!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
78,"ヤキモチをください!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
79,"グランドでも廊下でも目立つ君",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
80,"愛には　愛でしょ",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
81,"希望の夜",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
82,"君の友達",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
83,"雄叫びボーイ WAO! (スパーク Ver.)",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
84,"本気ボンバー!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
85,"MOON POWER",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
86,"エレガントガール",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
87,"ちょっとさみしいな",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
88,"シャイニング パワー",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
89,"マジカルフューチャー!(ジ・オーガENDテーマVer.)",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
90,"ヒーロー現る！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
91,"ヒロインになろうか！",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
92,"女のプライド",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
93,"ガールズタイムス",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
94,"女子会 The Night",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
95,"真っ白いあの雲",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
96,"BOMB BOMB JUMP",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
97,"一丁目ロック!",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
98,"思い出",9,"2015-11-15 19:12:50","2015-11-15 19:12:50",1
